profileName,iscedName,mainInstitutionName,levelCode,leadingInstitutionCity,mainInstitutionKind
praktyczny,Ochrona osób i mienia,Wyższa Szkoła Bezpieczeństwa w Poznaniu,2,Gdańsk,Uczelnia niepubliczna
ogólnoakademicki,Interdyscyplinarne programy i kwalifikacje obejmujące technologie informacyjno-komunikacyjne,Uniwersytet Szczeciński,3,Szczecin,Uczelnia publiczna
ogólnoakademicki,Dziennikarstwo,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Papieski Wydział Teologiczny we Wrocławiu,2,Wrocław,Uczelnia kościelna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
praktyczny,Biznes i administracja nie określone dalej,Akademia Ekonomiczno-Humanistyczna w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Kształcenie,Akademia Piotrkowska,2,Piotrków Trybunalski,Uczelnia publiczna
ogólnoakademicki,Ekonomia,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Nauka języków,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,2,Bydgoszcz,Uczelnia publiczna
praktyczny,Obszar nieznany,Akademia Medyczna Nauk Stosowanych i Holistycznych,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,2,Lublin,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy,3,Bydgoszcz,Uczelnia niepubliczna
ogólnoakademicki,Technologie związane z ochroną środowiska,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,2,Szczecin,Uczelnia publiczna
praktyczny,Sztuki plastyczne,Uniwersytet WSB Merito w Toruniu,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Fizyka,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,Poznań,Uczelnia publiczna
praktyczny,Technologie związane z diagnostyką i leczeniem,Niepubliczna Wyższa Szkoła Medyczna we Wrocławiu,2,Wrocław,Uczelnia niepubliczna
ogólnoakademicki,"Moda, wystrój wnętrz i projektowanie przemysłowe",Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu,3,Wrocław,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Politechnika Poznańska,2,Poznań,Uczelnia publiczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Uniwersytet Muzyczny Fryderyka Chopina w Warszawie,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Obszar nieznany,Politechnika Częstochowska,2,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie,1,Bytom,Uczelnia publiczna
ogólnoakademicki,Matematyka,Uniwersytet Gdański,3,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Inżynieria i zawody inżynierskie gdzie indziej niesklasyfikowane,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,Olsztyn,Uczelnia publiczna
praktyczny,Techniki audiowizualne i produkcja mediów,Uniwersytet Śląski w Katowicach,2,Cieszyn,Uczelnia publiczna
praktyczny,Kształcenie,Akademia Nauk Stosowanych w Wałczu,1,Wałcz,Uczelnia publiczna
praktyczny,Interdyscyplinarne programy i kwalifikacje związane z edukacją,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,3,Lublin,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Sztuki plastyczne,Uniwersytet Śląski w Katowicach,3,Cieszyn,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Szczeciński,2,Szczecin,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Technologie związane z ochroną środowiska,Politechnika Gdańska,2,Gdańsk,Uczelnia publiczna
praktyczny,Kształcenie,Uczelnia Biznesu i Nauk Stosowanych „Varsovia”,3,Rzeszów,Uczelnia niepubliczna
ogólnoakademicki,Turystyka i wypoczynek,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,2,Szczecin,Uczelnia publiczna
ogólnoakademicki,Opieka nad osobami starszymi i dorosłymi niepełnosprawnymi,Uniwersytet Szczeciński,2,Szczecin,Uczelnia publiczna
ogólnoakademicki,Filozofia i etyka,Uniwersytet Komisji Edukacji Narodowej w Krakowie,3,Kraków,Uczelnia publiczna
praktyczny,Zdrowie nieokreślone dalej,Akademia Nauk Stosowanych Mazovia,1,Siedlce,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie,3,Kraków,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Wyższa Szkoła Gospodarki w Bydgoszczy,2,Toruń,Uczelnia niepubliczna
ogólnoakademicki,Matematyka,Politechnika Wrocławska,2,Wrocław,Uczelnia publiczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Kształcenie nauczycieli bez specjalizacji tematycznej,Uniwersytet Szczeciński,3,Szczecin,Uczelnia publiczna
ogólnoakademicki,Sztuki plastyczne,Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Kształcenie nauczycieli bez specjalizacji tematycznej,Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Wyższa Szkoła COSINUS w Łodzi,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Mikołaja Kopernika w Toruniu,2,Toruń,Uczelnia publiczna
praktyczny,Techniki audiowizualne i produkcja mediów,Społeczna Akademia Nauk z siedzibą w Łodzi,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Elektronika i automatyka,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Terapia i rehabilitacja,Warszawski Uniwersytet Medyczny,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Medycyna,Uniwersytet Mikołaja Kopernika w Toruniu,2,Toruń,Uczelnia publiczna
praktyczny,Kształcenie,Akademia Łomżyńska,2,Łomża,Uczelnia publiczna
ogólnoakademicki,Elektronika i automatyka,Uniwersytet Przyrodniczy w Poznaniu,2,Poznań,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie,3,Lublin,Uczelnia niepubliczna
ogólnoakademicki,Fizyka,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
praktyczny,Ochrona osób i mienia,Wyższa Szkoła Biznesu i Nauk o Zdrowiu w Łodzi,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Nauki społeczne nieokreślone dalej,Uniwersytet Morski w Gdyni,3,Gdynia,Uczelnia publiczna
ogólnoakademicki,"Programy i kwalifikacje związane z naukami społecznymi, gdzie indziej niesklasyfikowane",Uniwersytet Warmińsko-Mazurski w Olsztynie,3,Olsztyn,Uczelnia publiczna
praktyczny,Kształcenie,Wyższa Szkoła Gospodarki w Bydgoszczy,2,Inowrocław,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
praktyczny,Kształcenie nauczycieli ze specjalizacją tematyczną,Uniwersytet w Siedlcach,2,Siedlce,Uczelnia publiczna
ogólnoakademicki,Elektryczność i energia,Uczelnia Medyczna im. Marii Skłodowskiej - Curie w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
praktyczny,Terapia i rehabilitacja,Wyższa Szkoła Humanistyczna im. Króla Stanisława Leszczyńskiego w Lesznie,2,Leszno,Uczelnia niepubliczna
ogólnoakademicki,Elektryczność i energia,Politechnika Rzeszowska im. Ignacego Łukasiewicza,3,Rzeszów,Uczelnia publiczna
ogólnoakademicki,Pielęgniarstwo i położnictwo,Uniwersytet Medyczny w Lublinie,3,Lublin,Uczelnia publiczna
ogólnoakademicki,Rachunkowość i podatki,Politechnika Częstochowska,3,Częstochowa,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Akademia Nauk Stosowanych im. prof. Edwarda Lipińskiego w Kielcach,3,Kielce,Uczelnia niepubliczna
praktyczny,Zarządzanie i administracja,Akademia im. Jakuba z Paradyża,3,Gorzów Wielkopolski,Uczelnia publiczna
ogólnoakademicki,Ekonomia,Wyższa Szkoła Ekonomiczna w Białymstoku,2,Białystok,Uczelnia niepubliczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Nauki o Ziemi,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
praktyczny,Turystyka i wypoczynek,Wrocławska Akademia Biznesu w Naukach Stosowanych,2,Wrocław,Uczelnia niepubliczna
ogólnoakademicki,Fizyka,Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
praktyczny,Psychologia,Akademia Humanistyczno-Ekonomiczna w Łodzi,1,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Ekonomia,Uniwersytet Opolski,3,Opole,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Uniwersytet Komisji Edukacji Narodowej w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
praktyczny,Marketing i reklama,Wschodnioeuropejska Akademia Nauk Stosowanych w Białymstoku,2,Ełk,Uczelnia niepubliczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Uniwersytet Jana Długosza w Częstochowie,2,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Matematyka,Politechnika Rzeszowska im. Ignacego Łukasiewicza,2,Rzeszów,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Kazimierza Wielkiego w Bydgoszczy,3,Bydgoszcz,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Ekonomiczny we Wrocławiu,2,Wrocław,Uczelnia publiczna
praktyczny,Zdrowie nieokreślone dalej,Wyższa Szkoła Zdrowia w Gdańsku,2,Gdańsk,Uczelnia niepubliczna
ogólnoakademicki,Zarządzanie i administracja,Wyższa Szkoła Społeczno-Gospodarcza,2,Przeworsk,Uczelnia niepubliczna
ogólnoakademicki,Transport,Uniwersytet Przyrodniczy w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Prawo,Uczelnia Łazarskiego w Warszawie,2,Warszawa,Uczelnia niepubliczna
praktyczny,Technologie związane z diagnostyką i leczeniem,Akademia Nauk Społecznych i Medycznych w Lublinie - Akademia Nauk Stosowanych,2,Lublin,Uczelnia niepubliczna
praktyczny,Rachunkowość i podatki,Sopocka Akademia Nauk Stosowanych,3,Chojnice,Uczelnia niepubliczna
ogólnoakademicki,Inżynieria i zawody inżynieryjne nieokreślone dalej,Uniwersytet Przyrodniczy w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Politechnika Częstochowska,2,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Inżynieria chemiczna i procesowa,Politechnika Śląska,3,Gliwice,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Ekonomiczny we Wrocławiu,2,Wrocław,Uczelnia publiczna
praktyczny,Socjologia i kulturoznawstwo,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,Gniezno,Uczelnia publiczna
ogólnoakademicki,Elektryczność i energia,Politechnika Poznańska,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Psychologia,Uniwersytet Opolski,1,Opole,Uczelnia publiczna
ogólnoakademicki,Biologia,Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Tworzenie i analiza oprogramowania i aplikacji,Politechnika Wrocławska,2,Wrocław,Uczelnia publiczna
ogólnoakademicki,Kształcenie nauczycieli bez specjalizacji tematycznej,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Terapia i rehabilitacja,Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,3,Wrocław,Uczelnia publiczna
praktyczny,Kształcenie,Poznańska Akademia Medyczna Nauk Stosowanych im. Księcia Mieszka I,1,Poznań,Uczelnia niepubliczna
ogólnoakademicki,"Interdyscyplinarne programy i kwalifikacje związane z naukami społecznymi, dziennikarstwem i informacją",Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,"Interdyscyplinarne programy i kwalifikacje obejmujące technikę, przemysł i budownictwo",Politechnika Poznańska,2,Poznań,Uczelnia publiczna
ogólnoakademicki,"Finanse, bankowość i ubezpieczenia",Menedżerska Akademia Nauk Stosowanych w Warszawie,2,Warszawa,Uczelnia niepubliczna
praktyczny,Technologie związane z ochroną środowiska,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Uniwersytet Przyrodniczy w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Politechnika Białostocka,3,Białystok,Uczelnia publiczna
ogólnoakademicki,Elektronika i automatyka,Politechnika Śląska,2,Gliwice,Uczelnia publiczna
praktyczny,Kształcenie,Wyższa Szkoła Humanistyczno-Ekonomiczna w Brzegu,2,Brzeg,Uczelnia niepubliczna
praktyczny,Nauka języków,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,3,Lublin,Uczelnia publiczna
praktyczny,Ekonomia,Staropolska Akademia Nauk Stosowanych w Kielcach,3,Kielce,Uczelnia niepubliczna
ogólnoakademicki,Chemia,Uniwersytet Śląski w Katowicach,3,Katowice,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Akademia Techniczno-Artystyczna Nauk Stosowanych w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Zarządzanie i administracja,Gnieźnieńska Szkoła Wyższa Milenium z siedzibą w Gnieźnie,3,Gniezno,Uczelnia niepubliczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,3,Lublin,Uczelnia publiczna
praktyczny,Zdrowie gdzie indziej niesklasyfikowane,Uniwersytet WSB Merito w Toruniu,2,Bydgoszcz,Uczelnia niepubliczna
ogólnoakademicki,Inżynieria chemiczna i procesowa,Politechnika Wrocławska,3,Wrocław,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Społeczna Akademia Nauk z siedzibą w Łodzi,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Kształcenie,Katolicki Uniwersytet Lubelski Jana Pawła II,2,Lublin,Uczelnia kościelna
praktyczny,Psychologia,Wyższa Szkoła Bezpieczeństwa w Poznaniu,2,Gliwice,Uczelnia niepubliczna
praktyczny,Sport,Wyższa Szkoła Sportu,2,Wrocław,Uczelnia niepubliczna
praktyczny,Kształcenie nieokreślone dalej,Uniwersytet WSB Merito w Toruniu,2,Bydgoszcz,Uczelnia niepubliczna
praktyczny,Ochrona osób i mienia,"Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego ""Apeiron"" w Krakowie",2,Kraków,Uczelnia niepubliczna
praktyczny,Kształcenie,Wyższa Szkoła Gospodarki w Bydgoszczy,3,Inowrocław,Uczelnia niepubliczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Uniwersytet Zielonogórski,3,Zielona Góra,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Technologie związane z ochroną środowiska,Politechnika Śląska,3,Gliwice,Uczelnia publiczna
praktyczny,Budownictwo i inżynieria lądowa i wodna,Wyższa Inżynierska Szkoła Bezpieczeństwa i Organizacji Pracy w Radomiu,2,Radom,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet im. Adama Mickiewicza w Poznaniu,2,Poznań,Uczelnia publiczna
ogólnoakademicki,Matematyka,Uniwersytet Śląski w Katowicach,3,Katowice,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet im. Adama Mickiewicza w Poznaniu,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Nauka języków,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Interdyscyplinarne programy i kwalifikacje obejmujące sztuki i przedmioty humanistyczne,Katolicki Uniwersytet Lubelski Jana Pawła II,3,Lublin,Uczelnia kościelna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,2,Warszawa,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Akademia Nauk Stosowanych Mazovia,2,Siedlce,Uczelnia niepubliczna
ogólnoakademicki,Technologie związane z ochroną środowiska,Uniwersytet Zielonogórski,2,Zielona Góra,Uczelnia publiczna
ogólnoakademicki,Obszar nieznany,Uniwersytet Pomorski w Słupsku,2,Słupsk,Uczelnia publiczna
ogólnoakademicki,Elektronika i automatyka,Politechnika Śląska,2,Gliwice,Uczelnia publiczna
ogólnoakademicki,Chemia,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Wyższa Szkoła Ekonomiczno-Humanistyczna w Bielsku-Białej,3,Bielsko-Biała,Uczelnia niepubliczna
praktyczny,Dziennikarstwo,Karkonoska Akademia Nauk Stosowanych w Jeleniej Górze,2,Jelenia Góra,Uczelnia publiczna
ogólnoakademicki,Leśnictwo,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,Olsztyn,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet im. Adama Mickiewicza w Poznaniu,3,Poznań,Uczelnia publiczna
ogólnoakademicki,"Interdyscyplinarne programy i kwalifikacje związane z prowadzeniem działalności gospodarczej, administracją i prawem",Uniwersytet Szczeciński,3,Szczecin,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Jana Kochanowskiego w Kielcach,3,Piotrków Trybunalski,Uczelnia publiczna
praktyczny,Pielęgnacja włosów i urody,Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy,2,Bydgoszcz,Uczelnia niepubliczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Mikołaja Kopernika w Toruniu,3,Toruń,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Wyższa Szkoła Uni-Terra z siedzibą w Poznaniu,2,Poznań,Uczelnia niepubliczna
ogólnoakademicki,"Finanse, bankowość i ubezpieczenia",Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Interdyscyplinarne programy i kwalifikacje obejmujące sztuki i przedmioty humanistyczne,Uniwersytet Szczeciński,2,Szczecin,Uczelnia publiczna
praktyczny,Ekonomia,Akademia WSB,2,Dąbrowa Górnicza,Uczelnia niepubliczna
praktyczny,Transport,Podkarpacka Szkoła Wyższa im. bł. ks. Władysława Findysza w Jaśle,2,Jasło,Uczelnia niepubliczna
ogólnoakademicki,Historia i archeologia,Katolicki Uniwersytet Lubelski Jana Pawła II,3,Lublin,Uczelnia kościelna
ogólnoakademicki,Nauki społeczne nieokreślone dalej,Uniwersytet Komisji Edukacji Narodowej w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Języki nie określone dalej,Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Elektronika i automatyka,Politechnika Poznańska,2,Poznań,Uczelnia publiczna
praktyczny,Literatura i językoznawstwo (lingwistyka),Społeczna Akademia Nauk z siedzibą w Łodzi,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Filozofia i etyka,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Inżynieria chemiczna i procesowa,Politechnika Rzeszowska im. Ignacego Łukasiewicza,2,Rzeszów,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Ekonomiczny we Wrocławiu,2,Wrocław,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,"Wyższa Szkoła Zarządzania ""Edukacja"" we Wrocławiu",2,Wrocław,Uczelnia niepubliczna
ogólnoakademicki,"Interdyscyplinarne programy i kwalifikacje obejmujące rolnictwo, leśnictwo, rybactwo i weterynarię",Uniwersytet Przyrodniczy we Wrocławiu,2,Wrocław,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Chemia,Uniwersytet Jana Długosza w Częstochowie,2,Częstochowa,Uczelnia publiczna
praktyczny,Nauki społeczne nieokreślone dalej,Uczelnia Biznesu i Nauk Stosowanych „Varsovia”,2,Rzeszów,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,"Programy i kwalifikacje związane z naukami społecznymi, gdzie indziej niesklasyfikowane",Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Politechnika Częstochowska,3,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Sopocka Akademia Nauk Stosowanych,2,Sopot,Uczelnia niepubliczna
ogólnoakademicki,Obszar nieznany,Uniwersytet Gdański,3,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Inżynieria i zawody inżynierskie gdzie indziej niesklasyfikowane,Politechnika Częstochowska,3,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Technologie związane z ochroną środowiska,Uniwersytet Bielsko-Bialski,2,Bielsko-Biała,Uczelnia publiczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Uniwersytet w Siedlcach,3,Siedlce,Uczelnia publiczna
praktyczny,Technologie związane z diagnostyką i leczeniem,Akademia Nauk Stosowanych im. Stanisława Staszica w Pile,2,Piła,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Akademia Ateneum w Gdańsku,2,Gdańsk,Uczelnia niepubliczna
praktyczny,Zarządzanie i administracja,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,Poznań,Uczelnia publiczna
ogólnoakademicki,Prawo,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,1,Warszawa,Uczelnia publiczna
ogólnoakademicki,Tworzenie i analiza oprogramowania i aplikacji,Polsko-Japońska Akademia Technik Komputerowych,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Języki nie określone dalej,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,"Pojazdy samochodowe, statki i samoloty",Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,2,Warszawa,Uczelnia publiczna
praktyczny,Chemia,Uniwersytet Jana Długosza w Częstochowie,2,Częstochowa,Uczelnia publiczna
praktyczny,Ekonomia,Staropolska Akademia Nauk Stosowanych w Kielcach,2,Kielce,Uczelnia niepubliczna
ogólnoakademicki,Techniki audiowizualne i produkcja mediów,Uniwersytet Warmińsko-Mazurski w Olsztynie,3,Olsztyn,Uczelnia publiczna
praktyczny,Praca socjalna i doradztwo,Społeczna Akademia Nauk z siedzibą w Łodzi,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Elektronika i automatyka,Politechnika Lubelska,2,Lublin,Uczelnia publiczna
